customer_id,customer_name,email,registration_date,customer_type
CUST0001,Allison Hill,donaldgarcia@example.net,2025-11-06,REGULAR
CUST0002,Javier Johnson,jesseguzman@example.net,2024-05-16,REGULAR
CUST0003,Meredith Barnes,zlawrence@example.org,2024-03-17,REGULAR
CUST0004,GINA MOORE,curtis61@example.com,2024-12-28,REGULAR
CUST0005,Renee Blair,dudleynicholas@example.net,2024-10-10,PREMIUM
CUST0006,Lisa Hensley,janetwilliams@example.org,2024-10-04,REGULAR
CUST0007,Dr. Sharon James,xreid@example.org,2025-02-07,REGULAR
CUST0008,Michael Miles,lynchgeorge@example.net,2024-07-27,REGULAR
CUST0009,James Mayo,gabriellecameron@example.org,2024-07-02,REGULAR
CUST0010,Renee Morales,clarksherri@example.net,2024-11-12,REGULAR
CUST0011,Jonathan Wilkerson,ithomas@example.org,2025-12-01,REGULAR
CUST0012,Nicole Patterson,icox@example.net,2025-08-17,REGULAR
CUST0013,Anthony Rodriguez,laurahenderson@example.org,2025-03-01,REGULAR
CUST0014,Zachary Rice,frazierdanny@example.net,2024-08-30,REGULAR
CUST0015,Gina Carter,shawnmckay@example.net,2024-08-25,PREMIUM
CUST0016,Pamela Romero,harrellkenneth@example.net,2025-09-08,REGULAR
CUST0017,Brittany Farmer,georgetracy@example.org,2025-01-26,REGULAR
CUST0018,Sandra Parker,allenashley@example.org,2023-11-23,REGULAR
CUST0019,Rose Spence,davidalvarez@example.net,2024-03-25,REGULAR
CUST0020,Shane Henderson,sarahcampos@example.net,2024-05-20,REGULAR
CUST0021,Jennifer Powers,samuel87@example.org,2024-08-01,REGULAR
CUST0022,George Chapman,briannasmith@example.net,2026-03-19,REGULAR
CUST0023,Austin Johnson,chad34@example.net,2025-08-05,REGULAR
CUST0024,Carlos Walls,esanchez@example.com,2024-05-03,REGULAR
CUST0025,Matthew Gomez,uowens@example.org,2026-05-24,REGULAR
CUST0026,Maria Brown,lauren13@example.org,2024-05-03,REGULAR
CUST0027,Brenda White,ewright@example.com,2025-11-13,REGULAR
CUST0028,Matthew Fernandez,novaksara@example.org,2024-03-27,REGULAR
CUST0029,John Hancock,martinaaron@example.com,2024-08-27,REGULAR
CUST0030,Rachel Mitchell,smoore@example.org,2023-10-11,PREMIUM
CUST0031,Kimberly Adkins,williamsthomas@example.net,2024-03-13,REGULAR
CUST0032,Jordan York,larsonemma@example.org,2025-03-31,REGULAR
CUST0033,Steve Sanchez,harveyrobert@example.net,2025-12-07,REGULAR
CUST0034,Taylor Harris,john62@example.net,2026-04-10,REGULAR
CUST0035,Eugene Walton,smithchristine@example.net,2023-12-15,PREMIUM
CUST0036,Daniel Baker,nicole35@example.com,2024-03-14,REGULAR
CUST0037,joshua turner,contrerasangela@example.net,2023-12-20,PREMIUM
CUST0038,Brandy Wilson,newtoneric@example.com,2026-02-06,REGULAR
CUST0039,Grant Watts,william40@example.org,2026-03-24,REGULAR
CUST0040,Donald Smith,danagreen@example.net,2025-05-29,VIP
CUST0041,Jessica Smith,landryhannah@example.org,2025-11-06,REGULAR
CUST0042,Jacob Tran,tanderson@example.com,2023-09-12,REGULAR
CUST0043,Christine Wright,gomezanita@example.com,2026-03-03,REGULAR
CUST0044,Tammy Young,theresacochran@example.com,2023-08-20,REGULAR
CUST0045,Tim Patton,vpham@example.org,2024-08-30,VIP
CUST0046,Michael Reyes,garrisonjeffrey@example.com,2025-01-06,REGULAR
CUST0047,Robert Perez,kellerraymond@example.com,2023-10-28,REGULAR
CUST0048,Diana May,ifrazier@example.com,2023-08-24,VIP
CUST0049,Wesley White,benjamin96@example.com,2024-11-11,PREMIUM
CUST0050,William Wilson,jonathanfletcher@example.org,2025-09-27,REGULAR
